nIndex,Title,Category,State,Love,Series,SeriesN,Warrant,Link,Introduction,aIndex,pIndex
686,毒后為凰,愛情,完結,0,0,0,,https://mojoin.com/novels/2906,"蕭姝漫是大魏國廢後，受盡冤屈，慘死荒野。
人人都道她不知廉恥，心狠手辣，德不配位。
然而當她重生歸來時，已是讓人聞風喪膽的楊漫，得丹宗傳承，毒醫無雙。
不知廉恥？本宮長得美惹來渣男，是本宮的錯嗎？
心狠手辣？傷過本宮的，害過本宮的，本宮就讓你們看看什麼是真正的心狠手辣！
德不配位？本宮志在長生大道，皇位於本宮都如浮雲！
至於那些總是在本宮面前蹦躂的跳梁小丑……
想做本宮的對手，你們配嗎？

某王：「他們不配，只有本王和你配一臉！」",546,4
687,毒女重生：太子爺的心尖寵,愛情,完結,1,0,0,,https://mojoin.com/novels/2905,"前世真心錯付，心心念念的人將自己利用殆盡，竟一杯毒酒賜死了自己，今生得以重來，她定要斬盡一切妖魔鬼怪，誰敢攔她，她就讓他付出代價！
為了不讓前世的事情再來一次，她跑進了一個男人的馬車裡。
他冷心冷情，面若謫仙，專注的看著自己。
「你還要在我懷裡待多久？」謫仙很兇。
「誰稀罕，我這就走。」她不想再跟人有任何糾纏。
可是，為什麼他會拉住自己，「其實，你想待多久都可以？」
「喂喂餵，說話就說話，動手動腳就過分了！」
「愛妃說的是，那便讓愛妃自己來吧」
原來，兩顆心，早已不知何時，湊到了一起。",138,4
688,昨夜暮已成舟,愛情,完結,0,0,0,,https://mojoin.com/novels/2892,"剛從省城回來的弟弟來看我，打趣道，「喲，姐，我姐夫呢，不會是出去沾花惹草了吧?」
「不會，他天天做飯呢。」
我磕著瓜子，一臉淡定。
沒想到這妖孽出來了。
「你的腰還酸嗎?要不要我給你揉揉?」
晚上，司徒暮與我耳鬢廝磨。
「綠豆糕，要嗎?」他問。
我想著剛剛吃飽，「不要。」
過了一會兒，「棒棒糖，要嗎?」他又問。
我一臉詫異，然後體諒了他道，「要」。
然後就是一番深入淺出。
次日，我躺在床上，揉了一下我的老腰，眼神幽怨。
去特麼的棒棒糖！
收起",406,4
689,幽洲願：此生唯求你,愛情,完結,0,0,0,,https://mojoin.com/novels/2891,"趙十六第一次見忘生時，他被水鬼纏住，她救了他。
他講究知恩圖報，從此黏上了她，要隨她捉妖降魔。
忘生第一次見到趙十六時，隨手殺了只水鬼，卻意外被他給纏上。
她嫌麻煩，想方設法甩開這塊牛皮糖。
某日，忘生不見了，趙十六爬上高樓，「諸位，本王的媳婦不見了。」
然而再次相遇，他卻性情大變。

「幽洲判大人，五百年不見，你還是一點沒變，只是對搶了本尊身體的賊人上了心，委實有趣。」

他獰笑著， 將她逼至角落。
冷漠狠厲過後，她哭著將昔日種種，連著他一同封印於崑崙。
往後餘生，她便守著崑崙，還這欠下的五百年，等他再度醒過來，喊她一句，
「阿笙。」",302,4
690,帝尊嬌寵小魔妃,愛情,完結,1,0,0,,https://mojoin.com/novels/2876,"請問被神秘大佬碰瓷了怎麼辦！ ？ ？
重生後的顏冷玉吸取前世教訓，誓要養死白眼狼，養廢白蓮花，一心修煉，馭獸天下！
誰料開掛的路上，她被人碰瓷了……
此人甩都甩不掉，人畜無害的眼神看得顏冷玉心憐腳軟。
直嘆美色誤人，心想就當養隻小奶狗等恢復記憶就送走。
結果養著養著小奶狗搖身變成高冷帝尊，將她直逼懷裡，眼神威脅：「負責！！」

「帝尊，這是誤會，在下先走一步！」
「顏顏，撩完想跑？沒門！」",126,4
691,帝少心尖寵：花樣嬌妻太刁蠻,愛情,完結,0,0,0,,https://mojoin.com/novels/2875,"從小父母雙亡的她，沒學會人情冷暖，肚子裡滿是壞水。
相依為命的哥哥是個溫柔的人，但再好的哥哥終有分開的時候，本以為從此天高任獨遊，誰知道，居然又跳進了一個叫做『房奇冬』的狼窩。
且看愛情故事，如何演繹...
你，是我的唯一嗎？",251,4
692,封少的專寵小綠梅,愛情,完結,15,0,0,,https://mojoin.com/novels/2801,"【腹黑＋寵妻＋天才】
為了抵抗家族的逼婚，喬窈盯上了俊雅如玉的封譽修。
一不做二不休，成米煮成熟飯不怕他想賴帳！
可是結果怎麼不太一樣？
這傢伙，明明是比她「哥哥」還要變態的魔鬼！
喬窈心裡其實愛著另一個人，可現在說什麼都晚了。
她後悔了，轉身想逃，可某人卻把她抵在牆角……
「想賴賬？已經晚了，你這輩子都烙上了封某人的記號。」",435,4
693,南少，你老婆又跑了,愛情,完結,1,0,0,,https://mojoin.com/novels/2800,"「南少，我懷了你的孩子。」

OMD，居然撞上如此隱秘的一幕。
男子神情一冷，「我不建議你生下來。」
渣男就渣男，不要孩子還講的如此委婉。
她看不下去要離開，卻意外被他的女朋友當成情敵，當眾一耳光。
閃光燈下，新聞頭條，她和他出入酒店，成雙成對。
她拋棄未婚夫，他拋棄懷孕女友……
外界給的誤會重重，二人誤打誤撞一一解開後發現他沒有女朋友，懷的也不是他孩子，一切只是誤會……
一切是他精心布下的局，而她是心甘情願，誤打誤撞跳入他的坑。",310,4
694,侯門庶女太妖嬈,愛情,完結,0,0,0,,https://mojoin.com/novels/2799,"一道天雷，讓她成了時下流行的穿越女。然而，萬幸中的不幸，她穿越成了一個極不受寵的妾室生下的一個極不受寵的庶出小姐。但這又如何？庶出女的人生依舊多姿多彩：
未婚懷了孕，連孩子她爹是誰都不知道？沒關係，一夜風流嘛，自己做的事，後果自己要承擔。
新婚之夜，丈夫不堪受辱，憤然離去？可以理解，傻子才願意做便宜老爸。
只是，大哥，你似乎忘了和我離婚？
女兒生日，天上掉下來一美男？好啊好啊，女兒正愁沒個爹，你來客串一下好了。
只是，男人們啊，小女只是一個小小的庶出，不是什麼香餑餑，我只想和我家小娃娃相伴到老，你們別一起撲上來啃好不好……",405,4
695,幸好流年遇到你,愛情,完結,6,0,0,,https://mojoin.com/novels/2798,"顧清裳，有姿色，有能力，還有一個帥氣的小兒子，外號花瓶中的戰鬥機。
在外人眼中，封易對自己的女兒愛搭不理。
可是在顧清裳的眼中，他卻對她的兒子迷之疼愛，卻也被百般嫌棄。
突來的一場意外，讓顧清裳本來完美的人生被人棒頭一錘，她從陽城人人羨慕的女人轉瞬成了人人喊打的小三！
而他，攜嬌妻女兒，出雙入對，人人羨慕。
而當所有的一切塵埃落定，讓顧清裳以為只剩下濃濃的幸福時——
一場爆炸，一場以性命為賭的陰謀，她屍骨無存。
留給他的，只有一個嚎啕大哭的孩子……",506,4
