書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
墮天使的羽翼,海空,愛情,完結,6,原創星球,奇幻,成長,異世界,架空,戀愛,https://mojoin.com/novels/3695,"因父母離異感到孤單的活潑女孩，
遇上從天而降遭到天界排斥的墮天使。

兩人的相遇究竟會發生什麼事呢？

一段愛情中，唯有勇往直前的去追尋，才能找到真正的幸福。"
渣男進化論,烏瞳貓,愛情,完結,3,原創星球,搞笑,短篇,歡樂,救贖,,https://mojoin.com/novels/3682,"這是我第一次覺得，想被一個人愛著，很難。
———————————————————
會讀心術的極品渣男X天然呆治癒系少女"
半與伴,胡書,愛情,完結,10,原創星球,異世界,ＨＥ,架空,玄幻,,https://mojoin.com/novels/3662,"◐ 半 與 伴 ◑
碎染有姑娘策馬似脫韁
眉眼帶勾閃艷光
素手長刀扛
冷府有公子圓滑一奸商
手中算盤叮噹響
眸底掠微芒

☾ 微天然霸氣半狐 V.S. 超腹黑陽光奸商 ☽
碎染城，大陸上有名的大城之一，虎寅國最繁榮的城市
包容性極強，不管是人、神、妖抑或是魔，皆有其容身之處
紅半湖，一個巾幗不讓鬚眉的颯爽少女，少見地以女子身分成了碎染城內的捕快
冷礿昕，一個心思百轉千迴的腹黑男子，少見地以商人身分成了碎染城內的名人
一個武者為尊的環境，一個強者為王的國家
當霸氣捕快對上圓滑奸商，孰勝孰敗？
當天然少女遇上腹黑青年，又是誰會先遺落自己的心？"
戀人,小說/程雪森、授權/美秀集團,愛情,完結,876,獨家原創,想靠近卻害怕失去,都會愛情,想愛卻不能愛,,,https://mojoin.com/novels/3659,"美秀集團人氣歌曲改編小說 ‧2023《看你聽的》音樂X漫畫X小說跨域特企作品

關曉真的心裡有個人，那個人叫做沈安頤。
自小沈安頤便總是在她身邊，他們是那麼了解彼此，
所以，當她在工作上遇到挫折時，沈安頤會來陪著她，
而當沈安頤失戀時，也都會來找她討拍求安慰──

可是關曉真很清楚，沈安頤是她抓不住的那隻飛鳥。

她永遠永遠，只會是他的「小真姊姊」，
也只能是他的小真姊姊……"
月旁月光,小說/瑪琪朵、授權/怕胖團,愛情,完結,487,獨家原創,遺忘是最好的解藥,科幻愛情,都是月亮惹的禍,,,https://mojoin.com/novels/3658,"怕胖團人氣歌曲改編小說 ‧2023《看你聽的》音樂X漫畫X小說跨域特企作品

女孩從小就害怕被拋棄，索性先拋棄別人，拋棄那些本應難以忘懷的記憶。
在明亮的月色下，她遇見一名樂手，四目相交時突然有了一瞬間的心跳加速。
樂手說他寫了一首歌要獻給初戀，她很不是滋味，原來有人能將初戀記掛那麼久。

她早就忘了第一次喜歡過的那個男孩，以及日常相處的點點滴滴，
只依稀記得兩人當時做下的約定，與歌唱有關，與月亮有關。

女孩大學畢業那年，第一批民用觀光太空船啟航，宇宙探險時代迎來新篇章。
她成為宇航公司的空勤人員，在航空站的酒吧再次遇見那名樂手，
兩人迅速甜蜜相戀，然而根植於女孩內心的害怕卻始終如影隨形……"
能不能和我留在台北（陪我幾天）,小說/吐維、授權/icyball冰球樂團,愛情,完結,474,獨家原創,台北覆滅,火山爆發,末世愛情,,,https://mojoin.com/novels/3657,"icyball冰球樂團人氣歌曲改編小說 ‧2023《看你聽的》音樂X漫畫X小說跨域特企作品

地質研究生魏冰原以為自己只是和教授一起參加火山研究學會，
沒想到剛出台北車站，她們便被幾位軍官一路載上陽明山。

沿途望見山麓繚繞著異常濃重的白煙，地表還不時出現震盪，
不祥的預感湧上了魏冰的心頭。
之後一個月，她被安排住在軍用宿舍，每天分析火山數據。

在這段枯燥又不安的日子裡，她認識了高大卻靦腆的軍官王裘，
兩人都熱愛饒舌，時常一起寫詞，關係漸漸變得曖昧。
然而魏冰還未能袒露心意，大屯山卻先瀕臨爆發，
大量的火山灰如細雪般飄散在整座城市裡，末日驟然降臨—－"
我在愛情的盡頭看見了你和我,小說/潘柏霖、授權/老王樂隊,愛情,完結,606,獨家原創,愛情消失的證據,分手不快樂,謀殺案,,,https://mojoin.com/novels/3655,"老王樂隊人氣歌曲改編小說 ‧2023《看你聽的》音樂X漫畫X小說跨域特企作品

所有的事情在發生之前都有跡可循，只是你有沒有察覺，或想不想察覺。
就像我和我的伴侶，是怎麼從甜蜜相戀走到現在這一步的呢？
他是在什麼時候做下這個決定的？
是我們終於找到一間理想的房子，他對我開心大笑時？
是他安靜走進海中，任憑海水淹沒他的腰、並打濕他全身時？
還是他在聽陳珊妮唸詩，卻失控地淚流不止時？

愛情的消失，會有多少證據？為什麼我沒發現？
或許，被愛過的我，也是愛存在過又消失的證據之一……"
守天誅,瀰霜,愛情,完結,5286,獨家原創,石榴石妖精,天界護法轉世,BG愛情,古風奇幻,,https://mojoin.com/novels/3484,"是你予我鮮血，讓我得以成妖，知曉世間情愛，
我願用此生相護，換你一世無憂。

由石榴石幻化成精的少女「紫牙烏」，一直獨自過著自由愜意的生活。
但有件事始終讓她掛在心上──助她成精的那抹血，究竟是誰的呢？
為了找到那個人，紫牙烏踏上旅程，因緣際會遇上雙目全盲的男子「丹良」。
丹良不僅溫柔地包容她的率性嬌蠻，還在告別之際，與她相約來年初夏共賞橘花漫山的美景，令她的心湖初次泛起漣漪。
然而待重逢時，卻見丹良因妖魔肆虐而渾身染血、命懸一線，
紫牙烏才猛地想起有人曾經跟她說過──
那抹血的主人在千年前犧牲雙瞳、封印了妖魔後，便轉世成人。
難道她長久以來尋覓的人，早已出現在眼前……"
愛上喝白開水的男孩,白夜,愛情,完結,20,飛燕文創,愛情,,,,,https://mojoin.com/novels/3645,"一個擅長彈吉他的書獃型男孩，
和一個迷糊容易臉紅的女孩；
一段愛的最真的感情，一杯白開水，
牽引起一段清澈如水的單純愛戀……
二○○八年情人節前夕最有滋味的白開水，
清新雋永，值得您細細品味……"
【花神淚】《冽雪凝嫣》,紫果瓊漿,愛情,完結,2772,原創星球,架空,古風,虐心,長篇,,https://mojoin.com/novels/3629,"自樓臺上相望的第一眼開始，他/她的心就已經深深淪陷了。
也許是神器的牽引……
也許，是前世修來的緣分……
但他/她更信的是——今世的註定！"
