書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
馭獸女帝,戀月兒,愛情,完結,4,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3088,"再次醒來，她成為七歲稚女。
與孿生哥哥相依為命，被毒打、被拋到亂葬崗上。
命不該絕，她與哥哥被神秘隱世高手所救。
開始新的人生。再次出世，七歲女娃已然成為絕美少女。
騎著白虎、吹著玉蕭，領著千軍萬獸橫掃江湖。
欠他們兄妹債的人一個也休想逃。
血債血還，敢動她最在乎的人，就要有死的覺悟。
她罩的人，願以命相護。
她的敵人，弒殺不休。惹她，必死；惹她哥哥，讓你生不如死。
……
馭獸女一出，引無數美男競折腰。

他說：能配得上你的人只有我。
他說：一生一世一雙人，我只要你。
他說：不能相愛，但求永相隨。
……
一個個美男登場，一場身世之謎也拉開。
她竟不是將軍的女兒，那麼，她是誰？"
貴女重生：將軍大人掌上寵,韻白,愛情,完結,2,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3087,"【蘇爽宅鬥好文！女主超靈，醫毒雙絕，男主非無腦霸道寵】

前世，父親斬首、母親自縊、抄家滅族，李太后毀了她全家！
逃入花坊，陰差陽錯下她被李太后之子強擄入宮，更因他慘死！
重生到一切慘劇尚未發生前。

極品親戚謀害母親？讓她後悔來到這世上；

前世渣男說愛她？直接奪了他的帝王之位；

偽善姨娘惡毒姐妹，通通給我靠邊站。
這一世，葉蓁蓁只想做一個惡人，護住所有心愛親近之人，
冷心冷情的過一生只是誰能告訴她，那個世人眼裡孤傲冷峻的少年英才，
為何一見她就面紅耳赤，溫柔似水，化了她冰封的心。"
萌寶助攻，總裁奶爸要追妻,可可達鴨,愛情,完結,25,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3086,"閨蜜撬走男友。
她一報還一報，轉身投奔閨蜜舅舅的懷抱。
一夜迷情，卻遭人誣陷，一時桃色緋聞滿天飛，不得已帶球跑路。
五年後歸來。

盛世集團總裁盛淮寧遭萌娃抱大腿，「爹地，不許你走！」
某女人卻死不承認，「抱歉，盛先生，我兒子認錯人！」

後來的後來，離了婚還帶著娃的文涼被權貴一方的盛家公子盛淮寧苦追。
有人羨慕有人妒恨，可只有文涼知道，從始至終，不過此一人矣。"
報告爹地：媽咪是重生的,結寶,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3085,"上一世，蘇白被渣男迷了心竅，
為他生下兒子回歸家庭，卻不想他和她的妹妹早有姦情。

直到她被凌虐至死，她才知道最愛她的父親是被他們害死的，
疼了多年的兒子根本不是她親生的，她的孩子一出生就被渣男掉包了！

那一晚和她在一起的另有其人！
重生歸來，蘇白復仇虐渣，找到寶貝女兒，還附贈了一個男神級別的老公。

她緊緊抱住老公的大腿狂刷好感：「老公，女兒不能沒有媽媽，你考慮一下我。」
男人神色冰冷：「你昨天還和別的男人糾纏不清。」
蘇白摟著他不撒手：「都是誤會，我是去談離婚的，反正我現在就是荔枝媽媽，你太太！」
男人計謀得逞，反客為主：「好，簽字領證！」"
報告仙君：帝姬她，恃寵生嬌！,民小蘇,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3084,"「仙君，快去看看吧！你家帝姬她她她又闖禍了！」
「我寵的，有意見？」

送走同僚，顏淵按了按太陽穴，
自從養了這個禍患，每天聽不見第二句話。
狐妖出身的尹花休放肆成性，天下人皆知仙君顏淵收了個無法無天的小妖，卻又都門兒清神帝護短的厲害。
這可把在天庭上房揭瓦踩蓮虐渣的尹花休高興壞了。

「我著實也不想這般趾高氣揚的，奈何我家仙君說了，有他在，什麼都不用怕！」

仙君汗顏，我何時說過這等話？
難道是……哪天夜裡？"
傅少，今天護短了嗎,奔跑的小米粒,愛情,完結,180,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3083,"重生歸來的寧歡一棍子掄暈了渣男。
私奔？不存在的，她眼睛又不瞎！

翻牆爬樓，遇上死對頭，
寧歡表情驚悚地摀住了自己的臉，快，她的眼睛要亮瞎了！

傅沉，傅家老么，A城出了名的病秧子，
陰險狡詐獨斷狠戾，自從寧歡出現後，他又多了一個專長——護短！

「傅少，夫人回寧家炸了她叔叔的婚禮現場！」
傅沉：「她消氣了嗎？沒消氣的話再炸一下！」
下屬：「！」那是個人，又不是炸麻花！

身為寧家長女的寧歡前世活得不如一條狗，
重生回來的她磨刀霍霍，披荊斬棘地宰豬宰羊，身邊更是有了個保護神。

傅沉：「刀給我，我幫你！」"
閃婚蜜愛：異能嬌妻別亂來,花落瑾殤,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3030,"據說，總裁夫人不是人呢。
據說，總裁也不是人呢。

不知何時開始，流言四起，蕭鴻翊半瞇著眼睛，手裡拿著鍋鏟對助手說道：「去讓別人改口。」
助手一臉懵逼：「要改口這不是強人所難麼？最近夫人不知道是怎麼回事，總喜歡用異能解決一些問題，以前還好，可現在，連掃地這樣的事情都用異能代替了，還被人給看到。」
「這個是你的事情，不是我的事情。」

助理：「……」
「老婆，可不可以商量一下，異能什麼的，就不要用了。」
「我才不要，異能多方便？」

 某人扶額：「可是你也不能當作生活技能啊。」
「可以啊，那我先出去買個菜。」
 半個小時後，助理一個電話：「總裁不好了，夫人留了紙條說再也不見，怎麼辦？」
「追啊！還能怎麼辦！」"
追愛365天：宮少誘捕小淘妻,繁星落,愛情,完結,40,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3029,"「女人，看光了本少的身體，你難道不該負責嗎？」他雙手將她禁錮在車廂一角。

言曦掏出匕首抵在他的下身，冷笑，
「現在還要負責嗎？」男人邪眸微瞇，反手奪過匕首對準她纖細的脖子，

邪笑：「負責！」
「混蛋，你別忘了當初是誰救了你！」她咬牙。

「當然沒忘，本少這不是打算以身相許嗎？」他低頭舔了舔她的紅唇，味道真好，找了那麼久，你以為你還逃得掉嗎？
生死之際，這個霸道邪魅的男人在海里托著她的腰，
深邃雙眸凝視著她：「你說過，你最大的心願是活在陽光下，而我宮少爵，就是你永遠的太陽！」
【這是一個腹黑爵爺霸寵特工小野妻，共造天才兒童的故事！ 】"
追妻36計：王爺太難纏,吃蘿蔔的蘿蔔。,愛情,完結,22,吾里文化,愛情,,,,,https://mojoin.com/novels/3028,"玩個網游，刷個副本，直接穿了，還好死不死的把人家新娘給砸暈了，
蘇晴嵐只好代替原主嫁給了慕容玉卿，沒想到這貨性情暴躁，還是個殺人不眨眼的傢伙，
帥是帥，就是太整，

「既然嫁給本王，王妃就行使一下職責吧，取悅我。」
「怎麼取悅？」
「本王教你，琴棋書畫樣樣精通，那麼就全套做下來。 」"
情禍,妝瓣兒,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3052,"鄧楠喬北崔攀。
講述的是鄧楠為了給撫養自己長大的結界報仇不惜墜入紅塵爬上崔攀的床的故事。
鄧楠本以為這隻是一場單純的複仇但在最後才知道她掉入了一個滿是陰謀的陷阱，
而最後，她竟愛上了一個早已心死的男人。"
許卿百世無憂,胡蘿蔔大大,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3044,"天下第一莊的莊主以盛大婚宴迎娶一名女娃。

「聽說你養大我，只為了報復我爹？」
「你聽誰說的？」
「你只告訴我，是或者不是。」
「是。」

於是她看著他，微笑含淚的走出他的生命。
曾經他執意復仇讓她受到傷害，如今他願意用自己餘生來彌補。

「後悔嗎？」
「許卿百世無憂。」"
莫以浮生,路圓圓,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3043,"他是陸家名門的二公子，才貌雙全，矜貴清冷。
三年前，她同他一夜歡纏。
三年後再遇，他已婚，她訂婚，他為她離婚，要她做第二春。
所有人都說他和她不配——
她還是義無反顧地嫁了。

最後的結果便是：
在白雪紛飛的夜晚，她淨身出戶，孑然一身，懷裡抱著死去的孩子，站在她身旁陪著她的，是別的男人。
莫安暖：「我想過安穩的生活，奈何，感情不讓。」
衛信宇：「如果再給我一次機會，當年我定會娶你。」
陸浮生：「我們重新認識吧，就止於你的名字，陸太太。」
陸競琛：「能讓她做陸太太的，不止你一個。」
……
你生命中總會遇到三個男人。
一個驚艷了時光，一個溫柔了歲月。
還有一個讓你明白，時光是假，歲月亦是假，莫以浮生度流年。"
盛世嫡妃：我為陛下平天下,珺婷,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3042,"一朝穿越，她竟成了痴傻棄妃。
棄妃就棄妃吧！
虐渣，打臉，手撕綠茶婊！
她一路開掛，無所不能！
外帶拐了個超級美男，當成貼身丫鬟！
王府待膩了，她就去皇宮逛一逛，
一不小心，竟把皇宮也鬧了個天翻地覆！
王爺，皇上，齊齊拜倒在她的石榴裙下。
就在她厭惡這兩朵煩人桃花之時，美男丫鬟帶到走進一條神秘通道。
從此驚險、稀奇，奇遇不斷。
忽然一天，美男丫鬟變成冷面王子！
殺伐果斷，叱吒風雲！千夫冷對！
唯有對她含有脈脈，深情款款，情意綿綿！
二人聯手，仗劍江湖，所向披靡，她全力助他登上皇位。
這冷面帝王剛才還一副正人君子模樣，可轉眼之間這冷面帝王就拋開帝王所有尊嚴，攬她入懷。"
清風未醉人未歸,吃蘿蔔的蘿蔔。,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3041,"她有多愛顧延安，他就有多恨她。
三年前的那場意外。
他的摯愛毀容傷殘，兩年，顧延安用了整整兩年來讓她生不如死。
她仍然記得成年禮時，他有多冷漠，多無情，
至今，那些曾經用命愛過的人，卻以傷害你來博得喜歡，卻不知你已然心涼，不再回頭……"
情路漫漫，冷暖自知,無晴,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3040,直到後來她才知道，這個男人靠近她，還有不可告人的目的……
情深予你終不悔,百里青青,愛情,完結,240,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3039,"「我不怕死，可我怕我死了，這個世界上再也沒有一個人會像我這麼愛你。」
顏景清看著心臟被扎中的刀子，嘴角溢出苦澀的笑對著顧冉竹開口。

「如果我真的死了，你一定要好好活著，我在天堂看著你好好活著，才能安心。」
顧冉竹滿手是血，她終於如願以償的要解脫了，

可是為什麼，那個口口聲聲恨不得她死的男人卻要承受她給的這一刀。
如果沒有愛，那便是濃烈的恨，
可愛之深恨之切，他們之間，早就已經說不清是愛是恨，是悔是痛……"
庶女清歡：皇后會通靈,郁芳芳,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3038,"沐清歡新婚之夜被夫君和侍妾害死，但她卻被閻王夫人選中成為通靈女活了過來，
她能讓所有鬼祟看到她就退避三舍，亦能收服鬼祟。

大難不死，她要徹底成為一朵黑蓮，一邊復仇鬥渣男渣女，
一邊驅除鬼祟維護人間，在附帶寵幸一下身邊那既忠犬又邪魅的夫君……

「愛妃，你辛苦一天了，我們是不是該就寢了？」某男以一種撩人的姿勢躺在床榻上，試圖勾引她。
「不行，還有一個小鬼未收。」
「那今晚你就把我當成鬼收了吧……」某男可憐兮兮的扯著她的衣角。

她招架不住她夫君的各種勾引和哀求，只好將他撲倒在床榻……"
庶女重謀，夫君上塌可好,柳十三,愛情,完結,194,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3037,"一朝穿越，毒體纏身，
姨娘害我，爹爹惱我，
唯我夫君與我同舟，即便如此為何還有人要爭！
如此我便來一殺一，練弱體修強心，千山萬水不負自己。"
將軍千嬌百媚,燕思,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3036,"外面，顧大將軍功名顯赫，
手段狠辣，讓敵軍聞風喪膽。
在內，他冷淡禁慾，最寡情不過。
白瞎了那張讓京都貴女為之瘋狂的臉。
薛子衿每每聽見坊間傳聞，都會扶著腰淡淡一笑。
禁慾，寡情？
不存在的！"
婚然心動：嬌妻限時購,雲染,愛情,完結,4,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3035,"她，沒心沒肺，神經大條。
他，冷酷無情，步步為營。

「上門推銷來了？」冰山的聲音魅惑無比。
「放屁！」趙廉珞咬牙切齒，奈何抵擋不住來人的武裝來襲。

直到生死一線，她才知道，她早芳心暗許。
直到聽聞她的死訊，他才懂得，她已紮根心底。

「趙廉珞，你是我的。」他撫摸著她臉，不允許再失去她第二次。
「我回來了。」她抬起頭，迎接她的目光，

他，趙家，她的一切，她要拿回來了。"
婚非得已：隱婚老公牆上寵,宋玥,愛情,完結,8,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3034,"稀里糊塗睡了個牛郎，丟下五百塊不夠，
再加點就是了，有必要滿城通緝，尋人啟事滿天飛？

「尋人啟事，女，本人老婆，重度精神分裂，提供線索者，獎勵一百萬。」
她騰的起身，怒氣沖衝的跑到某男的公司：「我現在控告你侵害本人名譽權，肖像權，賠償我名譽損失費，精神損失費，總計一千萬。」
「好啊。」某男唰唰的開了一千萬的支票，續而邪魅一笑：「你的算清了？該輪到我了？」
「你？你有什麼事？」張紫涵突然有種不祥的預感。
果然，某男邪邪一笑，「你睡了我一次，我是不是該睡回去？」"
國民夫人是女將,墨九爺,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3033,"曾經的她，是商國威名赫赫的女將軍；
現在的她，是嚴氏集團總裁的第一夫人；
他是寵她愛她的嚴縱，也是曾經默默守護她的九王爺；
她在那場暗算中摔下懸崖，卻不料來到這個陌生的時代，遇見了那個命中註定的男人；

他與她的前世今生，到底是孽緣的循環，還是佳偶天成……"
商少，夫人貓病又犯了,星小閃,愛情,完結,149,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3032,"傳聞林喵喵又醜又煩人，還對商臨淵用盡各種手段才嫁入商家！
可明明……是商臨淵追在林喵喵身後千方百計把她寵成一隻貓！

助理，「總裁，夫人想要最新款項鍊。」
商臨淵，「買！」
助理，「總裁，有人在娛樂圈散播夫人的謠言！」
商臨淵，「查出來，踢出娛樂圈！」
助理，「總裁，夫人說要跟您……離婚？」
商臨淵臉色一沉，「這是又在怪我沒好好陪她了。」
他立即放下手頭工作，將林喵喵堵在牆角。
林喵喵生無可戀，「商臨淵，你給我滾遠點！」

她明明就是受不了他天天粘著！怎麼就變成沒好好陪她了？"
陛下：皇后要出牆,唐銀,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3031,"萬蓁前半年順風順水，家大業大，最後坐上了皇后的寶座。
沒想到臨了卻在陰溝裡翻船，連說與她一起看山河的男人將她扔進冷宮自生自滅，轉身就抱上自己的庶女妹妹。
再度重生，家大業大不復存在，卻撞見自己洗心革面的『前夫』。

蓁蓁，這是我親手為你做的桂花糕，你快嘗嘗。
「陛下，請自重。」

蓁蓁，你看枝繁葉茂的大樹，早晚咱們也生那麼多孩子。
「陛下，皇后已經去了，奴婢不是皇后。」"
一縷飄散,柔兒,愛情,完結,0,飛燕文創,愛情,,,,,https://mojoin.com/novels/3019,"天朗氣清，即將遲暮的陽光照耀著湖畔，此時落了一場微雨。
青山綠水，柳絮紛飛，他與她比肩站在亭內。

色授魂與的他們，望著彼此明亮的眸，他揚起一抹寵溺的笑，
「等你好久了，阿羽。」
煙霧散去，雨聲停歇，她回以一笑，
「雨停了，我們回家吧。」
而今而後，他們攜手走過這浮生，生生世世，永不分離。
「我想，如果沒有與你相遇，我還有辦法如此幸福嗎？」
在金波閃爍的湖邊，手握著古老權杖的女術師，
等著那人緩緩到來，執起她的手，對她說──

「妳不必擔心，因為，不論如何，我一定會來到妳的身邊。」"
雨之畫作,楊寒,愛情,完結,120,飛燕文創,愛情,,,,,https://mojoin.com/novels/3018,"在一個充滿人情味的鄉村小鎮。
喜歡繪畫的高中生與青梅竹馬在小鎮畫室裡學畫多年。
在一個美得如天使降臨凡間的天才轉學生加入了畫室後，打破了原先他們微妙的關係……

當他們發現三人中曖昧的情愫蔓延開來時，那天使般的女孩卻因為遠在歐洲的父親而必須再度轉學……

「快要下雨了呢！如果有人正在哭泣，你一定要安慰她。那不是她的錯。」"
病弱王爺能寵妻,衾涼,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3016,"前世

夜景辰對我說：「待我歸來之日，就是娶你之時。」
只是沒想到，他對我的承諾，不過是因為我還有利用價值。
我只是他手中的利劍，為他斬除一切荊棘。
就連視我為生命的那個男人也被牽連致死。

今世

夜景辰還是那個高高在上的太子。
只是群臣廢黜，烽煙狼起，物是人非。
唯一相同的，是那個人依然愛著我。
他對我說：「我的心裝滿了你，無論星辰顛覆，無論滄海桑田。」
如若重來，仍負天下不負卿。"
留取春色滿京都,風煙殘霧,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3015,"「我只是不想再頂著别人的臉，像是個小偷，偷著本應是屬於她的寵愛，虛假地在這個地方活一輩子了。」

從我愛上你的那一刻起，我便不想了。
灼華宮里火光曳曳，衛蓁站在火光裡，看著宮院內，那株老桃樹上吐出的花苞和新芽。
桃枝夭夭、灼灼其華，這是宋瑯送給那個人的盛景，不是她的。
包括她在這座深宮裡所受的風光榮寵，也都不是她的。
一張人皮面具，一份無上榮寵，待謊言和臉皮一起撕破，宋瑯，你再見我，對我又能有幾分情呢？"
拿了反派劇本後我無敵了,袍今,愛情,完結,2639,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3003,"別人的快穿，系統宿主和諧相處，共同進步。

秦嬌嬌的快穿：「喊我爸爸，不喊我就炸穿這個世界。」
系統零貳叁：「……爸爸。」

「給我改變劇情，不然我就淹了這個世界。」
系統零貳叁：「……改了。」
……
宿主各種作妖，馬甲被扒了一層又一層，系統零貳叁苦不堪言，發誓要搞死這個狗比宿主恢復自由。
後來——
嬌嬌你真棒，嬌嬌你真強！
專門在位面世界裡吃軟飯的某人：「怎麼又來了一個吃軟飯的」
吃軟飯一時爽，一直吃軟飯一直爽！"
重生醫妃：我家王爺帥爆了,白娉羽,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3002,一朝穿越成為將軍府孤女，受盡委屈卻能憑藉一身本事在皇朝中掀起一番風雨，在血雨腥風中遇見自己的良人，與此人並肩而立，同甘共苦，創造一世繁華。
重生為凰：毒妃寵上天,出山,愛情,完結,11,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3001,"前世，她苦心助他登上皇位，換來的卻是負心漢與她表姐苟且，
弒殺親子，滅她全家，斷她十指的下場。

恨意滔滔，她涅槃重生。
負情之恨，滅門之仇，她一一討回！
刁奴挑釁、庶妹辱罵、繼母蠻橫、渣男糾纏！
血蝶在手，她有怨報怨，有仇報仇，殺牠的酣暢淋漓，揚它個威風八面！
可偏偏遇上那厚臉皮的某王爺，夜夜擅闖她閨房。

「都怪你，對爺使奇門媚術！」
「我沒有！」
「聽說你要鑑定一下爺是不是男人？」
「你滾！」"
蝦米？我的女友是笨蛋！,青鷹,愛情,完結,10,飛燕文創,愛情,,,,,https://mojoin.com/novels/2987,"我的女友很笨，不，別誤會，我不是在罵她，這只是陳述事實。
即便只是參加汽車駕訓班，她卻可以讓教練像是待在十八層地獄痛不欲生。
更可怕的是，最後她真的拿到駕照，而且還要拉我上路！幸好我命夠大，不然這個上路，真的就是上路啦！

至於你說我怎麼會遇到她？唉……這個說來話長，想當年……應該要從她直接用臉嚕壁講起。
咳嗯！總歸一句，就是愛到卡慘死吧！"
七日花,姬沐,愛情,完結,0,獨家原創,懸疑,,,,,https://mojoin.com/novels/2982,"傳聞只要在一周內，食用七種不同的花，
食花者心愛之人就可以長命百歲、永保安康。
白泉為了心愛的人，決定著手嘗試這個傳說。"
重生後大佬叫我小祖宗,妃小絳,愛情,完結,456,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2968,"「你是我的」
「死也不放手」
睜眼，聽到就是這句熟悉的話。
前世她逃之夭夭，這一世，她緊抱大腿。
冷情冷心，偏執暴戾大佬對上順毛小嬌妻。
外人眼中，傅三爺代表着富可敵國，權勢滔天，心思深沉，神！
傅太太眼中，大型高冷藏獒。
稍微順順毛，挺好用。
這個世界，對於傅三爺而言，只有兩種人。
傅太太，和傅太太以外的人。"
穿越獸世：團寵萌醫生崽崽,斯恩,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2967,"現代實習寵物醫生穿越到遠古獸世，本以為會走上爹不疼、娘不愛、手撕白蓮的女強之路，沒曾想過的卻是悠哉享受的養老生活。
暮蘿品一口茶，「哎，這日子過的，就缺點甜甜的戀愛了！」
說曹操，不是，說相公，相公到。
上山採藥，野人相公Get！
面對美強俊男，本以為是漫漫追夫路，沒想到……

「娘子，相愛便是夫妻。」
「娘子，何時與我生崽？」
「娘子，既然你不主動那我就……」男人邪魅一笑，熄滅燭火。"
穿書之暴君攻略指南,林洛書,愛情,完結,10,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2966,"和親公主，一朝被害，嫁給了夜郎國的暴君，
無人不知，無人不曉的廢後，卻一改往日…！
她是21世紀的頂級特工，穿越到了庶出公主身上，睜眼瞬間，又是一個系統在腦中！
尋藥、救人、易容、宮鬥升級打怪，通通不在話下！
至於『寵愛』這個……「王上給點寵唄？」
男子邪魅一笑，「江山都給你了，還不夠？」"
相思未休，蘇太傅請自重,狐青夜,愛情,完結,85,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2958,"「我不過是太后派來的棋子，你為什麼相信我？」
「因為我這個人，聰明......」

一場賜婚，兩人各懷心事。
聰明如蘇太傅，以為沒有自己俘獲不了的芳心。
卻偏偏被拒之門外。
她怕愛上他，只因自己藏著太多的秘密。
有些血債，終要血償。
一世情緣，是否能花開見喜？"
為你漫山遍野,言多bi池。,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2957,"在最落魄的時候撞見你，意外又注定。
那夜風和雨都很大，被你撿回家。

你說：「小東西，我可不是什麼好人。」

多年後再次相遇，又是一個雨夜，雷鳴閃電，你是被拔掉羽翼的鷹。
為你傾盡所有，等你再度羽翼豐滿，卻聽到一句「別再見。」
嗯，你提上褲子收收羽翼，讓我忘了你。
事與願違，偏偏再逢……
你說你只稀罕紅玫瑰和白玫瑰。
而我偏偏是一朵山茶。"
毒寵天下：狂妃美又炸,綰公子,愛情,完結,10,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2956,"一朝穿越，末世女王素兮竟成了雲府的小慫慫嫡女。
頂著一張太極臉，她左手異能，右手劇毒，虐虐渣，遛遛極品，再順道調戲個美男。
一不小心就活成了王炸！

某日，素兮實在沒忍住，衝身後男人大吼：「拜託，能不能不要跟著我了？」
豈料，某人伸手揉揉她的發頂，「不行，萬一有狼群出沒，小兮兒豈不危險？」

素兮撇撇嘴，「你確定自己不是最大那頭？」……"
毒妃嫁到：這個王爺我要了,青果果,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2955,"楚卿上輩子貴為宰相嫡女，卻在萬鼠噬心中淒然而去。
她錯信奸人，害得家破人亡，親人橫死。
蒼天有眼，讓她重活一世，哪怕只是青樓花女，她也要用盡一切報仇雪恨！
可死後才知，原以為與自己毫無交集的清冷王爺，卻夜夜在亂葬崗之上為她點燃燭火。
蕭靖然覺得有些奇怪，只是隨手救了個花女，卻給自己招來個小祖宗。
面對美人兒時不時的示好，當朝最絕代風華的九王爺皺了皺矜貴的眉，自然是……"
毒后為凰,蠻不講理,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2906,"蕭姝漫是大魏國廢後，受盡冤屈，慘死荒野。
人人都道她不知廉恥，心狠手辣，德不配位。
然而當她重生歸來時，已是讓人聞風喪膽的楊漫，得丹宗傳承，毒醫無雙。
不知廉恥？本宮長得美惹來渣男，是本宮的錯嗎？
心狠手辣？傷過本宮的，害過本宮的，本宮就讓你們看看什麼是真正的心狠手辣！
德不配位？本宮志在長生大道，皇位於本宮都如浮雲！
至於那些總是在本宮面前蹦躂的跳梁小丑……
想做本宮的對手，你們配嗎？

某王：「他們不配，只有本王和你配一臉！」"
毒女重生：太子爺的心尖寵,伍六無七,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2905,"前世真心錯付，心心念念的人將自己利用殆盡，竟一杯毒酒賜死了自己，今生得以重來，她定要斬盡一切妖魔鬼怪，誰敢攔她，她就讓他付出代價！
為了不讓前世的事情再來一次，她跑進了一個男人的馬車裡。
他冷心冷情，面若謫仙，專注的看著自己。
「你還要在我懷裡待多久？」謫仙很兇。
「誰稀罕，我這就走。」她不想再跟人有任何糾纏。
可是，為什麼他會拉住自己，「其實，你想待多久都可以？」
「喂喂餵，說話就說話，動手動腳就過分了！」
「愛妃說的是，那便讓愛妃自己來吧」
原來，兩顆心，早已不知何時，湊到了一起。"
昨夜暮已成舟,華樂清雅,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2892,"剛從省城回來的弟弟來看我，打趣道，「喲，姐，我姐夫呢，不會是出去沾花惹草了吧?」
「不會，他天天做飯呢。」
我磕著瓜子，一臉淡定。
沒想到這妖孽出來了。
「你的腰還酸嗎?要不要我給你揉揉?」
晚上，司徒暮與我耳鬢廝磨。
「綠豆糕，要嗎?」他問。
我想著剛剛吃飽，「不要。」
過了一會兒，「棒棒糖，要嗎?」他又問。
我一臉詫異，然後體諒了他道，「要」。
然後就是一番深入淺出。
次日，我躺在床上，揉了一下我的老腰，眼神幽怨。
去特麼的棒棒糖！
收起"
幽洲願：此生唯求你,陌上無花,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2891,"趙十六第一次見忘生時，他被水鬼纏住，她救了他。
他講究知恩圖報，從此黏上了她，要隨她捉妖降魔。
忘生第一次見到趙十六時，隨手殺了只水鬼，卻意外被他給纏上。
她嫌麻煩，想方設法甩開這塊牛皮糖。
某日，忘生不見了，趙十六爬上高樓，「諸位，本王的媳婦不見了。」
然而再次相遇，他卻性情大變。

「幽洲判大人，五百年不見，你還是一點沒變，只是對搶了本尊身體的賊人上了心，委實有趣。」

他獰笑著， 將她逼至角落。
冷漠狠厲過後，她哭著將昔日種種，連著他一同封印於崑崙。
往後餘生，她便守著崑崙，還這欠下的五百年，等他再度醒過來，喊她一句，
「阿笙。」"
帝尊嬌寵小魔妃,甘卿玥,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2876,"請問被神秘大佬碰瓷了怎麼辦！ ？ ？
重生後的顏冷玉吸取前世教訓，誓要養死白眼狼，養廢白蓮花，一心修煉，馭獸天下！
誰料開掛的路上，她被人碰瓷了……
此人甩都甩不掉，人畜無害的眼神看得顏冷玉心憐腳軟。
直嘆美色誤人，心想就當養隻小奶狗等恢復記憶就送走。
結果養著養著小奶狗搖身變成高冷帝尊，將她直逼懷裡，眼神威脅：「負責！！」

「帝尊，這是誤會，在下先走一步！」
「顏顏，撩完想跑？沒門！」"
帝少心尖寵：花樣嬌妻太刁蠻,花陽,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2875,"從小父母雙亡的她，沒學會人情冷暖，肚子裡滿是壞水。
相依為命的哥哥是個溫柔的人，但再好的哥哥終有分開的時候，本以為從此天高任獨遊，誰知道，居然又跳進了一個叫做『房奇冬』的狼窩。
且看愛情故事，如何演繹...
你，是我的唯一嗎？"
封少的專寵小綠梅,葉怪怪,愛情,完結,15,吾里文化,BG愛情,,,,,https://mojoin.com/novels/2801,"【腹黑＋寵妻＋天才】
為了抵抗家族的逼婚，喬窈盯上了俊雅如玉的封譽修。
一不做二不休，成米煮成熟飯不怕他想賴帳！
可是結果怎麼不太一樣？
這傢伙，明明是比她「哥哥」還要變態的魔鬼！
喬窈心裡其實愛著另一個人，可現在說什麼都晚了。
她後悔了，轉身想逃，可某人卻把她抵在牆角……
「想賴賬？已經晚了，你這輩子都烙上了封某人的記號。」"
